county,year,f_0,f_1,f_5,f_10,f_15,f_20,f_25,f_30,f_35,f_40,f_45,f_50,f_55,f_60,f_65,f_70,f_75,f_80,f_85,f_90,m_0,m_1,m_5,m_10,m_15,m_20,m_25,m_30,m_35,m_40,m_45,m_50,m_55,m_60,m_65,m_70,m_75,m_80,m_85,m_90,total_population,children_under_5,working_age,elderly_65plus,sex_ratio,dependency_ratio,child_dependency_ratio,elderly_dependency_ratio,pct_children,pct_elderly
Baringo,2021,10038.3095703125,39358.5078125,49776.4453125,49341.125,41075.1328125,31260.3515625,24140.763671875,19460.87109375,15458.1875,12729.0166015625,11739.833984375,9712.4765625,7022.9541015625,5379.29248046875,3829.82763671875,2699.255859375,1691.691162109375,1136.0909423828125,706.2377319335938,543.6542358398438,10534.3486328125,41272.95703125,52137.6171875,51669.140625,43428.125,32408.21484375,23794.623046875,20144.556640625,16172.740234375,12928.45703125,11113.7666015625,8696.7373046875,6675.958984375,5172.67431640625,3479.582275390625,2591.35107421875,1298.8302001953125,646.7257080078125,351.6573486328125,229.56739807128906,681847.657119751,101204.123046875,358514.734375,19204.471572875977,102.26864588212925,33.58539637977773,28.22872070329397,5.356675676483757,14.842629726760329,2.816534070674844
Bomet,2021,12228.5107421875,47945.90625,63476.5234375,67836.734375,59663.32421875,44549.6953125,36342.453125,33748.9375,20145.703125,19361.572265625,18229.783203125,11682.3251953125,10554.3955078125,7256.20068359375,4860.09228515625,3279.09423828125,2456.982421875,1848.082763671875,1044.1085205078125,603.6614379882812,12656.22265625,49586.328125,66019.03125,67430.0546875,59643.5078125,42249.97265625,33485.921875,31385.708984375,25335.283203125,20261.888671875,17818.25390625,11325.328125,9277.146484375,6739.8212890625,4237.51904296875,3025.8984375,1600.0587158203125,867.4234619140625,487.1588134765625,300.1726989746094,930846.7875061035,122416.9677734375,519057.22314453125,24610.252838134766,99.27611138079398,28.325821134105016,23.58448400579343,4.741337128311583,13.151140382770546,2.6438564507559628
Bungoma,2021,28254.94140625,110777.28125,153468.984375,160612.546875,136316.015625,88630.1875,69934.9140625,64884.91796875,48760.125,45388.39453125,36923.6875,32906.58984375,27812.1796875,19619.654296875,12415.54296875,7577.349609375,5747.3974609375,3697.419921875,1694.8118896484375,944.7958374023438,28221.6640625,110564.953125,154240.703125,157614.96875,134967.578125,84133.6171875,61411.96875,58197.99609375,48344.515625,40660.16015625,34166.64453125,27065.7578125,23506.8984375,16735.390625,9750.671875,6157.66015625,3757.001220703125,2043.0921630859375,1001.419677734375,578.572509765625,2059488.9716186523,277818.83984375,1100367.193359375,55365.735290527344,94.95947275694449,30.279399199196295,25.247830135282452,5.031569063913844,13.489697865456337,2.688323950917432
Busia,2021,12663.12890625,49637.1328125,67668.3125,72335.390625,64132.2109375,42477.67578125,33649.5859375,30442.2109375,22946.23828125,20441.99609375,16339.724609375,16503.703125,13665.92578125,10007.162109375,6546.7705078125,4328.9453125,3074.95556640625,1986.174560546875,1003.3746948242188,604.7620849609375,12596.34375,49338.23046875,66108.515625,70072.359375,61679.83203125,39069.15234375,27719.64453125,26138.982421875,22583.859375,18459.955078125,14199.396484375,12406.62109375,10456.537109375,7537.05322265625,4641.0556640625,3306.472412109375,1970.4547119140625,1060.7095947265625,541.2559814453125,315.6688537597656,940657.4812927246,124234.8359375,510857.46728515625,29380.59994506836,91.79267216096224,30.070116562830147,24.318884208098144,5.751232354732002,13.207234132318474,3.1234110746338035
Elgeyo-Marakwet,2021,6040.994140625,23685.708984375,30040.392578125,30162.64453125,26582.451171875,19884.876953125,15439.5205078125,13194.6796875,10183.041015625,8706.490234375,8117.49169921875,5856.244140625,5074.966796875,3692.457763671875,2594.6416015625,1874.9024658203125,1343.3231201171875,883.833251953125,462.259033203125,292.54486083984375,6124.1455078125,23994.0390625,30941.7890625,29880.76953125,26545.033203125,21008.220703125,15744.8330078125,13465.484375,11118.6337890625,9012.568359375,8041.24365234375,5386.9013671875,4793.505859375,3455.837890625,2444.388671875,1629.364501953125,956.5686645507812,492.1861267089844,228.87277221679688,131.33306884765625,429509.1837158203,59844.8876953125,235304.48217773438,13334.218139648438,100.59886688650582,31.09975005902607,25.4329569676915,5.66679309133457,13.933319697049404,3.1045245701826167
Embu,2021,6912.8935546875,27104.27734375,32635.951171875,35590.5234375,34778.296875,27574.38671875,22980.76953125,23644.265625,24074.71875,19735.86328125,17482.97265625,15869.32421875,12784.640625,8086.7548828125,6151.251953125,4248.451171875,2798.609375,2271.604736328125,1558.425048828125,1011.4405517578125,7127.6259765625,27925.615234375,33086.7109375,35894.76171875,35247.02734375,29701.7265625,25437.62109375,25574.33203125,25278.71875,20632.736328125,17254.943359375,14539.427734375,11938.7373046875,7429.53076171875,5414.93359375,3247.98583984375,1854.990966796875,1164.55712890625,654.7325439453125,362.6212158203125,657064.7579345703,69070.412109375,420046.79443359375,30739.604125976562,100.7558660324632,23.76164216892525,16.443504158271708,7.31813801065354,10.511964197637418,4.67832184800232
Garissa,2021,15261.130859375,59835.2421875,82481.921875,72864.6171875,59561.0859375,44823.609375,38305.4140625,28193.5703125,26170.15625,20106.009765625,11347.740234375,10959.771484375,4325.53564453125,5403.865234375,1822.398681640625,2407.52685546875,958.754150390625,644.7908325195312,1075.001708984375,1261.695556640625,16937.65625,66359.59375,94783.546875,92268.5234375,73489.421875,52071.921875,33781.23046875,27660.2578125,22185.568359375,22896.484375,14126.71484375,15591.48046875,6921.14697265625,7726.470703125,2538.970458984375,3128.438720703125,1212.6795654296875,703.3590087890625,897.814453125,771.9606323242188,1043863.0791015625,158393.623046875,525647.4560546875,17423.390625,113.98975530349367,33.44770561461317,30.133052338104722,3.3146532765084475,15.1737930211309,1.6691260543476694
HomaBay,2021,16613.337890625,65138.0703125,84838.0,89631.6796875,71954.015625,52244.9453125,42162.1953125,40304.1015625,27147.01171875,23612.955078125,19257.37890625,15818.7880859375,14980.4296875,12082.0771484375,8507.89453125,5800.234375,3785.601806640625,2360.001220703125,1219.1751708984375,751.5401000976562,16798.376953125,65815.046875,84318.8359375,88818.9375,70052.0234375,45901.8671875,34279.15625,32713.361328125,28426.5625,22083.65234375,15157.33984375,11715.255859375,10388.46484375,8368.388671875,5742.4248046875,4142.68896484375,2201.79443359375,1151.976318359375,630.3375244140625,412.4902038574219,1147328.4153137207,164364.83203125,598649.970703125,36706.1594543457,91.79376836941432,33.587405216011994,27.45591582309786,6.131489392914138,14.325874774600328,3.1992722366515194
Isiolo,2021,6130.85888671875,24038.056640625,29172.869140625,26181.85546875,21176.51171875,16949.98046875,13812.5234375,11890.962890625,9129.869140625,6401.26708984375,4972.244140625,4103.06640625,3461.07177734375,2642.007080078125,1434.4068603515625,1152.161865234375,611.1232299804688,420.971923828125,345.9844665527344,305.67645263671875,6274.39501953125,24582.705078125,30817.025390625,29041.0625,24997.4375,18588.068359375,15109.599609375,13747.1298828125,10472.5078125,8028.2119140625,5596.9560546875,4874.44970703125,3524.42822265625,3227.425048828125,1564.1805419921875,1260.913330078125,647.5509643554688,337.7011413574219,221.84902954101562,163.8113250732422,387410.8775177002,61026.015625,202705.71826171875,8466.331130981445,110.16849486926314,34.28238105560398,30.10571983283061,4.176661222773371,15.752272113787466,2.185362265827095
Kajiado,2021,20887.0390625,81876.5546875,91687.90625,81201.6015625,68968.953125,82142.671875,75610.5390625,61012.3203125,47338.1796875,33745.546875,25704.888671875,19613.439453125,12321.6611328125,8159.8662109375,4566.0107421875,3034.2021484375,1886.57275390625,1218.6011962890625,723.701416015625,511.79638671875,21424.7421875,83922.25,93091.109375,77901.4765625,63351.75,72706.2421875,74221.1640625,66145.609375,53123.390625,37431.7734375,29682.5859375,22192.09375,13552.974609375,8096.390625,4417.69384765625,2960.59033203125,1535.88134765625,751.2431640625,379.359375,225.46751403808594,1449325.840927124,208110.5859375,875122.041015625,22211.120223999023,100.67871142343645,26.318809876414335,23.78075013354443,2.5380597428699034,14.35913029773712,1.5325139176288143
